Sl No.,BRCODE,BRANCHNAME,INVOICE,GSTIN,INV_DATE, CHARGE ,CGST,SGST,IGST,POS,LOS,Check,Cat,NT_DATE,NT_NO,RATE,HSN,Nil_Type,NT_AMT,NT_CGST,NT_SGST,NT_IGST,client_gstin,fp
69,376,ADC,CSBKIMPS06200069,01AAACT6167G1ZL,30.06.2020,14.50,0.00,0.00,2.61,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
140,293,ATM,CSBKNFS106200140,01AAACT6167G1ZL,30-Jun-20,"1,290.00",0.00,0.00,232.20,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
55,376,ADC,CSBKUPI106200056,01AAACT6167G1ZL,30-Jun-20,43.44,0.00,0.00,7.82,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
23,293,ATM,101492-2006NTHE,01AAACT6167G1ZL,30.06.2020,122,0,0,22,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101657-1904NTHE,01AAACT6167G1ZL,30.06.2020,780,0,0,141,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101599-1905NTHE,01AAACT6167G1ZL,30.06.2020,332,0,0,60,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101590-1906NTHE,01AAACT6167G1ZL,30.06.2020,341,0,0,62,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101598-1907NTHE,01AAACT6167G1ZL,30.06.2020,153,0,0,28,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101601-1908NTHE,01AAACT6167G1ZL,30.06.2020,375,0,0,68,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101655-1909NTHE,01AAACT6167G1ZL,30.06.2020,293,0,0,53,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101658-1910NTHE,01AAACT6167G1ZL,30.06.2020,289,0,0,52,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101673-1911NTHE,01AAACT6167G1ZL,30.06.2020,358,0,0,64,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101666-1912NTHE,01AAACT6167G1ZL,30.06.2020,520,0,0,94,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101664-2001NTHE,01AAACT6167G1ZL,30.06.2020,541,0,0,97,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101678-2002NTHE,01AAACT6167G1ZL,30.06.2020,393,0,0,71,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
,293,ATM,101697-2003NTHE,01AAACT6167G1ZL,30.06.2020,199,0,0,36,01,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
145,293,ATM,CSBKNFS106200145,02AAAAJ8590P1Z7,30-Jun-20,15.00,0.00,0.00,2.70,02,32,INTER,B2b,,,18,9971,,,,,,32AABCT0024D1Z9,072020
